#Kid	#fpt	#fit
0	0	17
1	0	933
2	0	1377
3	0	812
4	0	550
5	0	28
6	0	2678
7	14	14
8	0	327
9	0	2506
10	0	705
11	0	1066
12	0	624
13	0	1865
14	0	18
15	0	1418
16	0	2679
17	0	18
18	0	838
19	0	1388
20	2427	592
21	0	625
22	0	264
23	0	265
24	0	478
25	0	128
26	0	814
27	0	559
28	0	816
29	0	96
30	0	381
31	0	263
32	0	426
33	121	27
34	0	1914
35	0	1180
36	0	1814
37	0	815
38	0	2758
39	0	670
40	0	30
41	0	2262
42	0	549
43	0	1416
44	0	1247
45	0	712
46	0	2757
47	0	489
48	0	549
49	0	17
50	0	504
51	0	17
52	1242	720
53	0	1184
54	0	1255
55	1447	702
56	0	152
57	0	548
58	0	1748
59	37	16
