#Kid	#fpt	#fit
0	10308	1736
1	0	2124
2	28967	2214
3	2334	1675
4	0	1832
5	7205	2379
6	52070	2367
7	47162	2682
8	61906	2683
9	28336	2182
10	9321	2683
11	1673	1673
12	5150	1911
13	11970	1676
14	13018	2125
15	5583	2022
16	2087	1721
17	30362	2214
18	0	2679
19	31641	2368
20	7357	2023
21	6701	2419
22	24801	2302
23	52659	2366
24	43143	2366
25	49164	2216
26	48136	2067
27	15324	2680
28	2985	1910
29	55105	2024
30	34972	2213
31	22635	2683
32	25327	2418
33	37319	2678
34	5295	2474
35	23901	2025
36	0	2271
37	47918	2707
38	17481	2679
39	0	2706
40	31853	1911
41	9506	1675
42	17564	1722
43	19066	1675
44	70337	2680
45	17920	2707
46	61181	2024
47	29338	2380
48	37448	2125
49	2464	1807
